"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Waynesburg University","Pennsylvania","PA","Private","4 Year",10164,24820,34984,24820,34984,2039,NA,NA,NA,NA,NA,1272,6,17,66,21,4,1862,21,38,4,135
"Weatherford College","Texas","TX","Public","2 Year",7580,2550,10130,5610,13190,5613,NA,NA,NA,NA,NA,3567,47,40,179,823,9,4256,128,98,33,1226
"Webb Institute","New York","NY","Private","4 Year",15050,50175,65225,50175,65225,90,NA,NA,NA,NA,NA,12,0,8,0,0,0,76,4,1,1,12
"Webber International University","Florida","FL","Private","4 Year",9150,26116,35266,26116,35266,732,NA,NA,NA,NA,NA,245,2,9,147,81,0,293,14,4,182,253
"Weber State University","Utah","UT","Public","4 Year",6279,5831,12110,16585,22864,25954,3,53900,94000,60,8,13866,95,317,320,2430,98,12902,425,8964,403,3685
"Webster University","Missouri","MO","Private","4 Year",11050,27900,38950,27900,38950,16769,15,46500,83500,50,2,9463,75,423,6217,1159,31,7166,314,1029,355,8219
"Welch College","Tennessee","TN","Private","4 Year",7704,19012,26716,19012,26716,329,NA,NA,NA,NA,NA,148,1,2,30,9,0,264,4,0,19,46
"Wellesley College","Massachusetts","MA","Private","4 Year",16468,53732,70200,53732,70200,2323,18,58900,106200,48,34,2262,1,538,128,205,0,932,138,106,275,1010
"Wells College","New York","NY","Private","4 Year",14100,40700,54800,40700,54800,550,NA,NA,NA,NA,NA,366,4,11,68,49,2,368,1,39,8,135
"Wenatchee Valley College","Washington","WA","Public","2 Year",4020,4467,8487,4903,8923,3510,NA,NA,NA,NA,NA,1996,73,35,24,1229,1,1909,112,123,4,1474
"Wentworth Institute of Technology","Massachusetts","MA","Private","4 Year",14190,33950,48140,33950,48140,4558,15,62700,112700,53,39,886,10,285,212,155,0,2792,247,583,274,909
"Wentworth Military Junior College","Missouri","MO","Private","2 Year",6800,20900,27700,20900,27700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wesley College","Delaware","DE","Private","4 Year",11717,26406,38123,26406,38123,NA,4,45400,77300,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wesleyan College","Georgia","GA","Private","4 Year",9860,23000,32860,23000,32860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wesleyan University","Connecticut","CT","Private","4 Year",15060,54914,69974,54914,69974,NA,3,61600,117000,53,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Chester University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9716,10412,20128,21986,31702,16086,NA,NA,NA,NA,NA,9818,18,356,1644,757,17,12709,395,64,126,3187
"West Georgia Technical College","Georgia","GA","Public","2 Year",NA,3372,3372,6042,6042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Hills College: Coalinga","California","CA","Public","2 Year",7977,1380,9357,11130,19107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Hills College: Lemoore","California","CA","Public","2 Year",NA,1380,1380,11130,11130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Kentucky Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000,6402,NA,NA,NA,NA,NA,3735,18,38,540,179,3,5205,157,248,14,935
